date,total_pnl,avg_pnl,num_trades,win_rate,fg_score,classification
2024-04-11,389.743164,24.35894775,16,0.125,76.0,Extreme Greed
2024-04-12,-592.6458390000001,-4.594153790697676,129,0.5503875968992248,79.0,Extreme Greed
2024-04-13,6621.451755,74.3983343258427,89,0.6853932584269663,72.0,Greed
2024-04-14,-36104.012520000004,-337.4206777570094,107,0.308411214953271,72.0,Greed
2024-04-15,3774.08872,92.05094439024391,41,0.8536585365853658,74.0,Greed
2024-04-16,2467.702221,52.504302574468085,47,0.9148936170212766,65.0,Greed
2024-04-17,2441.4683999999997,174.39059999999998,14,0.9285714285714286,67.0,Greed
2024-04-19,1946.4454620000001,55.61272748571429,35,0.7714285714285715,66.0,Greed
2024-04-20,0.0,0.0,22,0.0,66.0,Greed
2024-04-22,0.0,0.0,9,0.0,73.0,Greed
2024-04-23,1119.536196,16.962669636363636,66,0.5303030303030303,71.0,Greed
2024-04-24,279.185907,13.95929535,20,0.3,72.0,Greed
2024-04-25,0.0,0.0,74,0.0,72.0,Greed
2024-04-26,0.0,0.0,3,0.0,70.0,Greed
2024-04-27,4281.488139,158.57363477777778,27,0.7037037037037037,67.0,Greed
2024-04-28,0.0,0.0,58,0.0,65.0,Greed
2024-04-29,526.9338359999999,11.709640799999999,45,0.37777777777777777,67.0,Greed
2024-04-30,0.0,0.0,24,0.0,67.0,Greed
2024-05-01,0.0,0.0,14,0.0,54.0,Neutral
2024-05-03,5306.017045,147.3893623611111,36,0.4722222222222222,48.0,Neutral
2024-05-04,0.0,0.0,9,0.0,67.0,Greed
2024-05-05,0.916,0.15266666666666667,6,0.16666666666666666,69.0,Greed
2024-05-06,968.59038,107.62115333333333,9,0.4444444444444444,71.0,Greed
2024-05-07,883.537693,49.08542738888889,18,0.5,68.0,Greed
2024-05-08,1.56576,0.12044307692307693,13,0.07692307692307693,64.0,Greed
2024-05-09,1147.595856,40.985566285714285,28,0.39285714285714285,55.0,Greed
2024-05-10,2101.741695,95.53371340909092,22,0.2727272727272727,66.0,Greed
2024-05-11,251.604742,27.956082444444444,9,1.0,53.0,Neutral
2024-05-12,0.0,0.0,23,0.0,56.0,Greed
2024-05-13,2136.853859,76.31620925,28,0.35714285714285715,57.0,Greed
2024-05-14,1150.5233050000002,50.02275239130436,23,0.17391304347826086,66.0,Greed
2024-05-15,948.970582,26.360293944444447,36,0.4722222222222222,64.0,Greed
2024-05-16,214.5898,7.94777037037037,27,0.18518518518518517,70.0,Greed
2024-05-18,3522.3946610000003,140.89578644000002,25,0.64,73.0,Greed
2024-05-19,0.0,0.0,8,0.0,72.0,Greed
2024-05-20,-74.818442,-7.4818442,10,0.0,70.0,Greed
2024-05-21,7289.397571999999,58.31518057599999,125,0.112,76.0,Extreme Greed
2024-05-22,0.0,0.0,6,0.0,76.0,Extreme Greed
2024-05-23,413.347329,1.2718379353846154,325,0.4461538461538462,76.0,Extreme Greed
2024-05-24,821.949278,410.974639,2,1.0,74.0,Greed
2024-05-25,14.126038999999999,0.8828774374999999,16,0.3125,76.0,Extreme Greed
2024-05-26,778.6839,48.66774375,16,0.25,75.0,Extreme Greed
2024-05-27,1129.35587,4.499425776892431,251,0.35856573705179284,74.0,Greed
2024-05-29,277.791953,1.6938533719512194,164,0.4146341463414634,72.0,Greed
2024-05-30,20.951433,2.9930618571428576,7,0.7142857142857143,73.0,Greed
2024-05-31,25.35812,1.9506246153846154,13,0.3076923076923077,73.0,Greed
2024-06-01,91.510419,3.66041676,25,0.36,72.0,Greed
2024-06-02,192.906947,2.074268247311828,93,0.3655913978494624,73.0,Greed
2024-06-03,562.808208,8.040117257142859,70,0.6285714285714286,73.0,Greed
2024-06-04,52.211438,0.9851214716981133,53,0.4716981132075472,73.0,Greed
2024-06-05,56.055506,1.038064925925926,54,0.2962962962962963,75.0,Extreme Greed
2024-06-06,274.173187,1.1716802863247862,234,0.42735042735042733,78.0,Extreme Greed
2024-06-07,8902.467416,20.23288049090909,440,0.4,77.0,Extreme Greed
2024-06-08,129.13883900000002,4.453063413793104,29,0.27586206896551724,72.0,Greed
2024-06-09,0.0,0.0,17,0.0,75.0,Extreme Greed
2024-06-10,31.266804999999998,0.589939716981132,53,0.33962264150943394,72.0,Greed
2024-06-11,4320.631811,35.12708789430894,123,0.13821138211382114,74.0,Greed
2024-06-12,-21886.531493,-86.16744682283463,254,0.08267716535433071,72.0,Greed
2024-06-13,6632.757115,83.95895082278481,79,0.24050632911392406,70.0,Greed
